	16S-V1V2	16S-V4	COI-BF3BR2	ITS1a	ITS2	Unclassified	
EXPERIMENT_3_T_A01	5710	19949	3	70	432	3073	
EXPERIMENT_3_T_A02	8472	20353	2	496	2653	3883	
EXPERIMENT_3_T_A03	4661	19633	76	87	413	3094	
EXPERIMENT_3_T_A04	6715	14783	0	1329	574	2759	
EXPERIMENT_3_T_A05	2918	9726	171	113	386	1663	
EXPERIMENT_3_T_A06	7162	17387	0	160	363	3077	
EXPERIMENT_3_T_A07	1391	5468	3	43	307	884	
EXPERIMENT_3_T_A08	5470	13178	4	221	1417	2577	
EXPERIMENT_3_T_A09	3217	8016	332	184	485	1581	
EXPERIMENT_3_T_A10	5356	12391	1	180	987	2414	
EXPERIMENT_3_T_B01	1309	3058	216	224	313	678	
EXPERIMENT_3_T_B02	5809	14345	0	162	1401	2734	
EXPERIMENT_3_T_B03	7432	19285	14	358	477	3254	
EXPERIMENT_3_T_B04	2848	8166	1	271	519	1559	
EXPERIMENT_3_T_B05	6428	21834	2	92	443	3426	
EXPERIMENT_3_T_B06	9409	25415	1	196	957	4478	
EXPERIMENT_3_T_B07	4029	10230	24	94	398	1870	
EXPERIMENT_3_T_B08	1531	3555	0	141	294	682	
EXPERIMENT_3_T_B09	6296	15199	82	297	764	2741	
EXPERIMENT_3_T_B10	3059	7804	178	366	498	1543	
EXPERIMENT_3_T_C01	2917	7606	0	177	392	1419	
EXPERIMENT_3_T_C02	1436	3772	0	222	167	784	
EXPERIMENT_3_T_C03	5089	10855	15	56	370	2040	
EXPERIMENT_3_T_C04	810	2190	93	33	144	463	
EXPERIMENT_3_T_C05	5721	13719	1	172	466	2475	
EXPERIMENT_3_T_C06	7679	18093	0	377	833	3131	
EXPERIMENT_3_T_C07	4936	18912	665	268	657	3299	
EXPERIMENT_3_T_C08	3454	12416	929	520	1195	2487	
EXPERIMENT_3_T_C09	6148	16740	1	585	667	2884	
EXPERIMENT_3_T_C10	4470	14251	2	612	538	2555	
EXPERIMENT_3_T_D01	1658	4432	317	752	1135	1025	
EXPERIMENT_3_T_D02	2018	4306	175	496	778	1005	
EXPERIMENT_3_T_D03	6133	15501	0	120	283	2782	
EXPERIMENT_3_T_D04	5364	12695	0	41	141	2377	
EXPERIMENT_3_T_D05	1834	20027	133	150	236	2851	
EXPERIMENT_3_T_D06	1783	33573	110	195	390	4945	
EXPERIMENT_3_T_D07	7694	19135	1	634	2303	3680	
EXPERIMENT_3_T_D08	7522	19805	0	870	2431	3841	
EXPERIMENT_3_T_D09	8033	26649	1295	473	2026	5025	
EXPERIMENT_3_T_D10	4796	12420	498	237	560	2306	
EXPERIMENT_3_T_E01	3898	10228	0	138	1094	1913	
EXPERIMENT_3_T_E02	4392	12035	0	1358	1655	2380	
EXPERIMENT_3_T_E03	3421	11205	974	766	1838	2344	
EXPERIMENT_3_T_E04	1869	5253	1093	485	1025	1374	
EXPERIMENT_3_T_E05	5444	14218	2	221	2101	2757	
EXPERIMENT_3_T_E06	6565	18463	5	1112	2055	3610	
EXPERIMENT_3_T_E07	5267	11906	414	544	1286	2355	
EXPERIMENT_3_T_E08	2851	7291	171	235	883	1377	
EXPERIMENT_3_T_E09	9332	19770	2	321	2111	3836	
EXPERIMENT_3_T_E10	10446	22394	0	664	765	4032	
EXPERIMENT_3_T_F01	2566	7963	563	898	579	1611	
EXPERIMENT_3_T_F02	2237	16907	268	500	417	2602	
EXPERIMENT_3_T_F03	7169	13502	1	193	951	2566	
EXPERIMENT_3_T_F04	6091	14144	1	746	662	2676	
EXPERIMENT_3_T_F05	7095	12292	0	7	27	2281	
EXPERIMENT_3_T_F06	5169	9571	0	2	9	1663	
EXPERIMENT_3_T_F07	7037	16004	5	463	5450	3082	
EXPERIMENT_3_T_F08	11635	23500	5	430	8756	4817	
EXPERIMENT_3_T_F09	497	937	0	243	1038	332	
EXPERIMENT_3_T_F10	440	970	0	142	309	262	
EXPERIMENT_3_T_KN_hom1	221	520	0	120	277	147	
EXPERIMENT_3_T_KN_hom2	250	737	1	94	298	178	
EXPERIMENT_3_T_KN_hom_pl1	351	1045	0	88	359	247	
EXPERIMENT_3_T_KN_hom_pl2	459	1075	0	215	840	302	
EXPERIMENT_3_T_Neg_index	0	0	0	0	0	0	
EXPERIMENT_3_T_Neg_PCR	635	1821	1	534	1569	541	
