	16S-V1V2	16S-V4	COI-BF3BR2	ITS1a	ITS2	Unclassified	
EXPERIMENT_2_T_PL015_B06	1933	6657	2652	215	300	2364	
EXPERIMENT_2_T_PL015_B07	2023	7369	1035	150	233	1835	
EXPERIMENT_2_T_PL015_B08	1319	5659	806	240	637	1417	
EXPERIMENT_2_T_PL015_B09	7660	24559	42	228	960	4578	
EXPERIMENT_2_T_PL015_B10	12305	40129	46	208	1113	7598	
EXPERIMENT_2_T_PL015_C01	2204	7641	2672	487	571	2776	
EXPERIMENT_2_T_PL015_C02	2760	9633	2322	684	1459	2917	
EXPERIMENT_2_T_PL015_C03	5753	17045	2140	670	1728	4407	
EXPERIMENT_2_T_PL015_C04	4772	13521	5458	859	876	4772	
EXPERIMENT_2_T_PL015_C05	2133	7433	475	352	489	1782	
EXPERIMENT_2_T_PL015_C06	1228	4762	414	196	123	1174	
EXPERIMENT_2_T_PL015_C07	1824	6309	674	451	896	1706	
EXPERIMENT_2_T_PL015_C08	1324	4615	203	122	517	1123	
EXPERIMENT_2_T_PL015_C09	6451	17317	21	31	1389	3717	
EXPERIMENT_2_T_PL015_C10	10029	27688	34	259	1872	5607	
EXPERIMENT_2_T_Q10_A10	23627	74176	125	890	3007	14423	
EXPERIMENT_2_T_Q11_B01	6087	22706	6652	1134	865	7275	
EXPERIMENT_2_T_Q12_B02	1056	3299	2152	289	130	1502	
EXPERIMENT_2_T_Q13_B03	12830	40627	2273	346	907	8733	
EXPERIMENT_2_T_Q14_B04	8005	28851	5452	975	878	7659	
EXPERIMENT_2_T_Q15_B05	2070	6982	333	534	1014	2104	
EXPERIMENT_2_T_Q16_B06	2979	9469	1563	358	505	2714	
EXPERIMENT_2_T_Q17_B07	581	2179	823	125	250	767	
EXPERIMENT_2_T_Q18_B08	785	3570	560	121	165	1028	
EXPERIMENT_2_T_Q19_B09	10414	32137	58	84	1901	6400	
EXPERIMENT_2_T_Q1_A01	1385	4840	3403	403	183	2152	
EXPERIMENT_2_T_Q20_B10	8320	25525	34	63	689	5232	
EXPERIMENT_2_T_Q21_C01	4815	16083	3515	962	1162	4439	
EXPERIMENT_2_T_Q22_C02	8466	27170	8312	1232	974	8436	
EXPERIMENT_2_T_Q23_C03	3246	9752	1436	530	714	2702	
EXPERIMENT_2_T_Q24_C04	3796	11579	1916	668	908	3156	
EXPERIMENT_2_T_Q25_C05	1882	7605	158	705	954	2045	
EXPERIMENT_2_T_Q26_C06	1004	4173	53	144	383	1109	
EXPERIMENT_2_T_Q27_C07	443	1911	1	109	127	518	
EXPERIMENT_2_T_Q28_C08	728	2693	890	232	158	1058	
EXPERIMENT_2_T_Q29_C09	32360	85969	186	394	4817	17411	
EXPERIMENT_2_T_Q2_A02	3113	10259	4833	824	495	3733	
EXPERIMENT_2_T_Q30_C10	24328	63559	111	481	1907	12724	
EXPERIMENT_2_T_Q31_B01	869	3812	6	138	218	957	
EXPERIMENT_2_T_Q32_B02	969	3841	10	230	273	1011	
EXPERIMENT_2_T_Q33_R01	13170	29110	39	6	78	5422	
EXPERIMENT_2_T_Q34_R02	13649	30717	44	6	87	5721	
EXPERIMENT_2_T_Q35_G01	7003	15963	13	1	3894	3502	
EXPERIMENT_2_T_Q36_G02	6746	14780	14	6	8636	4149	
EXPERIMENT_2_T_Q37_L01	1077	4167	5	125	368	1026	
EXPERIMENT_2_T_Q38_L02	4120	11751	24	622	1006	2877	
EXPERIMENT_2_T_Q39_Z01	6338	25090	12	819	4027	5791	
EXPERIMENT_2_T_Q3_A03	1580	5244	1042	655	346	1557	
EXPERIMENT_2_T_Q40_Z02	2904	9863	23	2031	2818	2915	
EXPERIMENT_2_T_Q4_A04	4730	17397	2888	1454	1178	4652	
EXPERIMENT_2_T_Q5_A05	331	1015	3	13	46	213	
EXPERIMENT_2_T_Q6_A06	1285	5289	972	403	408	1446	
EXPERIMENT_2_T_Q7_A07	512	2364	290	211	283	645	
EXPERIMENT_2_T_Q8_A08	2450	9153	1228	449	1001	2311	
EXPERIMENT_2_T_Q9_A09	26370	77913	180	690	3221	15803	
EXPERIMENT_2_T_R01	7183	14916	7	3	32	2521	
EXPERIMENT_2_T_R02	9291	19456	11	4	24	3356	
EXPERIMENT_2_T_Z01	1075	3255	3	116	148	787	
EXPERIMENT_2_T_Z02	1132	3991	1	385	719	941	
