	16S-V4	COI-BF3BR2	Unclassified	
EXPERIMENT_1_TZ_KE_008_A1	1380	106	1108	
EXPERIMENT_1_TZ_KE_008_A2	1150	95	908	
EXPERIMENT_1_TZ_KE_008_A3	735	189	738	
EXPERIMENT_1_TZ_KE_008_A4	15324	45	10992	
EXPERIMENT_1_TZ_KE_008_B1	5431	74	3932	
EXPERIMENT_1_TZ_KE_008_B2	2921	52	2095	
EXPERIMENT_1_TZ_KE_008_B3	19821	55	13861	
EXPERIMENT_1_TZ_KE_008_B4	14370	49	10060	
EXPERIMENT_1_TZ_KE_008_C1	321	35	278	
EXPERIMENT_1_TZ_KE_008_C2	353	51	308	
EXPERIMENT_1_TZ_KE_008_C3	95	3	93	
EXPERIMENT_1_TZ_KE_008_C4	18335	45	12843	
EXPERIMENT_1_TZ_Neg_index	0	0	0	
EXPERIMENT_1_TZ_Neg_PCRI	583	0	383	
EXPERIMENT_1_TZ_PL_010_A1	651	102	632	
EXPERIMENT_1_TZ_PL_010_A2	657	70	572	
EXPERIMENT_1_TZ_PL_010_A3	1574	82	1236	
EXPERIMENT_1_TZ_PL_010_A4	4378	22	3086	
EXPERIMENT_1_TZ_PL_010_B1	2960	252	2400	
EXPERIMENT_1_TZ_PL_010_B2	1281	63	1005	
EXPERIMENT_1_TZ_PL_010_B3	2152	207	1947	
EXPERIMENT_1_TZ_PL_010_B4	11304	35	7979	
EXPERIMENT_1_TZ_PL_010_C1	6226	380	4766	
EXPERIMENT_1_TZ_PL_010_C2	5440	319	4138	
EXPERIMENT_1_TZ_PL_010_C3	2559	369	2369	
EXPERIMENT_1_TZ_PL_010_C4	12480	23	8939	
EXPERIMENT_1_TZ_PL_015_A1	4053	381	3499	
EXPERIMENT_1_TZ_PL_015_A2	3245	338	2802	
EXPERIMENT_1_TZ_PL_015_A3	845	95	778	
EXPERIMENT_1_TZ_PL_015_A4	4377	12	3231	
EXPERIMENT_1_TZ_PL_015_B1	1143	319	1309	
EXPERIMENT_1_TZ_PL_015_B2	1307	301	1358	
EXPERIMENT_1_TZ_PL_015_B3	4558	252	3387	
EXPERIMENT_1_TZ_PL_015_B4	2587	4	1808	
EXPERIMENT_1_TZ_PL_015_C1	169	55	191	
EXPERIMENT_1_TZ_PL_015_C2	213	53	212	
EXPERIMENT_1_TZ_PL_015_C3	282	82	266	
EXPERIMENT_1_TZ_PL_015_C4	3584	4	2423	
EXPERIMENT_1_TZ_r1_Z	42945	209	30354	
EXPERIMENT_1_TZ_r2_Z	29012	85	20234	
