#OTU ID	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
OTU15	58	50	10	74	0	511	0	33	0	114	0	69	23	108	13	33	10	20	18	23	19	11	5	0	11	26	27	30	93	107	0	0	0	0	8	24	597	443	82	0	43	49	7	0	48	11	10	26	1111	626	2	11	84	37	1468	1180	0	0	0	0	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	86	8	172	65	3	11	5	4	20	20	25	6	10	14	6	11	70	21	0	4	8	2	31	51	41	31	13	0	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU51	40	43	7	75	0	209	0	35	2	135	0	68	42	117	16	22	21	12	8	24	38	10	3	0	21	16	15	21	62	27	0	0	0	13	0	12	90	91	114	0	9	26	17	0	8	9	0	27	376	229	35	0	36	35	305	198	0	1	0	0	0	0	0	0	0
OTU513	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU42	19	28	42	10	46	15	40	26	3	56	30	76	10	75	7	3	36	33	44	129	57	13	3	5	7	30	12	9	29	22	53	46	20	25	25	16	15	13	230	83	12	16	66	71	25	26	104	44	19	86	65	22	137	8	1	0	0	0	28	67	14	32	36	17	107
OTU336	0	0	0	0	24	0	0	0	4	0	0	0	0	0	0	6	0	0	49	7	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	11	5	0	0	0	0	3	7	0	0	0	0	15	0	0	0	0	0	4	3	0	0	0	0	0	0	0
OTU67	28	24	31	20	0	12	15	29	6	37	17	43	295	0	231	221	49	0	54	28	4	13	19	5	24	56	81	29	30	15	10	0	41	22	1	33	79	83	77	74	50	40	40	18	48	54	39	65	63	59	16	62	42	0	0	0	0	0	0	0	0	0	0	0	0
OTU114	63	100	22	22	8	26	0	12	0	6	0	0	25	26	28	28	7	47	36	40	2	53	4	2	24	22	19	22	90	62	0	20	29	57	7	6	77	62	48	6	2	4	38	0	1	28	46	29	25	80	30	31	5	80	0	0	0	0	0	0	0	0	0	0	0
OTU53	97	212	4	1125	0	13	0	0	0	2	0	0	0	0	0	0	2	0	41	38	0	16	1	0	0	0	61	143	328	482	10	0	158	231	0	0	0	0	263	28	88	146	235	34	237	956	45	34	61	376	165	50	63	409	0	1	0	0	0	0	0	0	0	0	0
OTU142	36	0	205	0	5	0	15	0	1344	0	0	0	1	0	0	0	46	0	144	48	5	1	0	1	0	0	0	0	4	0	6	0	0	2	1	0	0	0	0	31	0	0	0	0	0	0	5	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU639	4	0	0	2	3	0	0	0	4	0	0	0	0	2	3	0	2	0	1	2	0	0	0	0	6	0	0	3	0	9	0	0	1	0	0	0	2	2	0	0	0	4	6	17	90	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	224	144	22	316	83	75	0	0	0	64	0	0	1247	17	865	983	485	13	2	0	0	0	186	54	418	364	545	315	499	156	124	0	75	92	0	25	9	28	0	6	0	0	244	63	162	477	24	63	67	96	23	24	0	46	0	0	0	0	0	0	0	0	0	0	0
OTU494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	14	27	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20	146	103	34	304	0	0	6	685	2	272	37	383	58	56	115	175	125	92	0	0	0	0	46	15	142	139	0	0	0	0	0	0	0	0	0	0	0	0	59	4	32	14	0	0	0	0	31	0	128	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU196	39	0	27	6	11	0	0	1	1	0	0	0	0	0	2	0	2	0	5	2	0	2	0	0	0	0	22	9	19	31	2	0	0	6	0	0	0	0	0	5	3	1	0	0	0	0	8	17	6	22	46	26	10	46	0	0	0	0	0	0	0	0	0	0	0
OTU855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU46	2	102	10	3	20	1	0	65	0	68	25	174	84	0	172	178	51	14	1	0	0	0	83	7	20	39	129	47	125	97	0	0	0	0	0	27	20	12	26	65	5	18	0	0	0	0	10	89	53	233	109	88	28	110	0	0	0	0	0	0	0	0	0	0	0
OTU64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	22	78	86	0	0	81	48	4	72	1595	1553	903	81	774	838	0	0	0	0	20	0	138	82	24	0	93	69	0	0	0	0	0	0	0	0	0	0	0
OTU11	38	118	51	387	43	107	57	575	84	680	8	652	184	58	157	150	23	6	180	173	74	55	2	1	0	5	82	30	55	61	21	0	39	39	9	47	392	514	453	99	242	213	88	42	43	130	782	255	123	680	25	27	21	156	0	0	0	0	0	0	0	0	0	0	0
OTU77	0	20	10	9	7	24	72	729	13	12	18	112	0	38	0	10	0	2	102	37	0	1	0	4	9	20	14	0	18	8	0	17	0	4	3	10	0	0	11	4	20	1	31	0	7	156	10	0	32	0	32	1	26	4	1	1	0	0	0	13	3	9	0	15	41
OTU238	0	8	0	0	0	46	0	16	0	9	0	0	0	0	1	19	2	1	36	88	2	46	1	1	11	98	0	0	0	0	0	0	17	68	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	7	53	0	0	35	0	0	0	0	0	0	0	0	0	0	0
OTU24	1167	639	235	383	7	112	154	239	29	365	47	279	127	6	268	249	76	11	177	60	76	29	90	20	114	105	246	129	289	159	99	46	389	176	5	20	164	98	166	71	85	88	307	276	618	597	245	279	293	484	91	58	217	152	0	1	0	0	0	0	0	0	0	0	0
