#OTU ID	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
OTU284	0	0	0	3	0	0	20	82	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	31	286	14	14	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
OTU395	13	0	0	7	0	0	2	0	0	0	0	0	27	0	34	26	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU206	0	7	0	0	0	0	0	0	0	4	0	0	111	0	155	223	57	0	0	0	0	0	29	4	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU454	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	4	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	19	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU410	4	0	0	2	0	0	0	0	0	0	0	44	14	12	13	9	2	0	0	0	0	0	0	0	7	0	1	0	8	0	0	0	16	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU305	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU453	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	2	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU198	0	0	0	0	0	0	0	0	0	0	0	0	549	0	6	0	6	0	3	0	0	0	145	38	57	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU112	0	0	0	0	0	25	0	4	0	30	0	16	0	0	0	0	0	0	0	0	0	0	11	6	52	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1444	0	0	10	5	0	0	0	0	0	11	0	0	5	0	0	16	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	0	0	0	0	0
OTU597	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU289	0	0	0	3	0	8	0	0	0	0	0	0	19	0	3	14	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	3	1	0	0	0	0	0	0	0	0	0	0
OTU543	0	0	0	3	0	0	0	0	0	0	0	0	1	0	3	13	0	0	8	2	0	0	5	0	0	3	7	3	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU338	6	6	0	6	0	0	0	1	1	2	0	11	17	0	15	9	11	0	10	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU324	6	0	0	0	0	0	0	18	0	18	0	11	7	0	12	19	6	6	0	0	0	0	3	0	0	4	3	0	0	2	0	0	0	4	0	0	12	3	0	5	3	0	0	0	0	0	0	0	0	7	0	6	2	1	0	0	0	0	0	0	0	0	0	0	0
OTU171	0	0	0	0	0	0	0	0	0	0	0	0	45	5	65	166	54	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU442	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU82	0	8	0	0	0	0	0	38	21	430	0	21	3	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU148	3	5	0	42	0	0	0	0	0	0	0	32	18	0	2	6	7	0	2	0	0	0	30	4	67	60	18	2	15	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	43	0	15	19	30	8	5	27	13	6	0	0	0	0	0	0	0	0	0
OTU788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	47	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU370	0	16	2	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	3	5	6	0	0	0	0	0	0	0
OTU413	12	11	0	4	0	0	0	0	0	0	0	0	32	0	16	6	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU581	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0	15	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU698	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU450	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	9	2	0	0	0	0	11	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	20	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0
OTU1229	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1244	2	0	0	0	0	0	0	0	0	0	0	0	11	0	5	1	0	0	1	0	7	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU262	11	0	0	0	8	7	0	0	0	0	0	0	11	0	2	4	19	0	0	0	0	0	63	10	37	34	40	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1261	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	3	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU503	0	0	0	1	0	0	0	0	0	0	19	0	3	0	5	0	0	0	6	0	0	0	1	1	8	0	7	0	0	0	0	0	8	0	0	0	5	4	0	12	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU516	0	0	0	0	0	0	0	0	9	0	0	0	6	0	8	8	6	0	0	0	0	0	3	0	3	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU286	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU185	0	0	9	87	0	0	0	0	0	111	0	152	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU567	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	1	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	27	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU387	0	4	13	2	0	0	0	0	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	10	0	12	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU301	1	9	0	1	0	0	0	0	0	20	0	0	9	4	1	0	2	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	26	21	35	0	0	0	0	283	350	1058	1121	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	5	1	0	0	0	1	0	15	15	0	0	0	7	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU440	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	263	0	0	16	0	50	48	16	4	0	0	0	0	29	21	203	161	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU304	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	8	0	0	0	9	0	5	16	77	42	21	71	0	0	0	9	0	0	0	0	16	60	4	35	0	0	0	0	12	0	4	4	24	4	6	35	0	0	0	0	0	0	0	0	0	0	0
OTU374	0	10	0	4	0	0	7	6	0	0	0	0	10	0	12	15	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0	11	5	0	0	0	0	9	0	17	0	0	0	0	0	0	0	0	0	0	0	0
OTU386	0	0	0	0	0	0	0	0	0	0	0	0	3	29	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	225	60	93	16	135	0	0	0	0	0	0	0	0	0	0	0
OTU158	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU585	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	4	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1019	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU163	12	47	30	3	38	19	84	0	5	56	3	16	6	56	6	18	4	12	5	34	49	53	0	8	118	5	24	21	28	48	279	79	96	10	34	19	72	33	141	47	5	24	42	105	54	26	38	4	31	24	38	79	45	6	0	1	1	0	50	96	65	33	78	27	28
OTU362	2	0	8	1	0	0	0	0	0	0	0	0	6	0	5	3	0	0	0	0	0	0	3	0	0	3	9	2	0	16	0	0	0	2	0	0	8	2	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU187	0	0	0	0	0	0	0	0	0	0	0	0	215	0	259	367	117	0	0	0	0	0	58	12	161	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU119	29	11	4	0	20	0	0	0	13	17	0	0	40	0	49	36	33	0	5	5	3	0	6	1	4	3	14	9	0	0	0	0	0	0	0	0	1	5	0	0	0	7	0	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU74	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	356	26	0	0	0	0	439	150	825	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU132	1	19	3	1	9	0	0	0	14	41	0	0	185	0	192	332	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU121	0	0	0	0	0	0	0	0	0	0	0	0	15	33	10	24	16	5	0	0	0	0	34	31	92	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU409	0	0	0	12	0	0	26	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	16	20	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU257	28	9	5	0	0	0	0	0	0	11	8	0	38	0	8	42	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU493	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	108	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU427	6	17	0	0	0	0	0	0	4	2	0	0	7	21	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0	0	0	0	0
OTU499	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	4	0	0	0	0	0	26	225	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	70	84	639	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
