#OTU_ID	EXPERIMENT_1_T_AU_031_1	EXPERIMENT_1_T_AU_031_2	EXPERIMENT_1_T_B1	EXPERIMENT_1_T_B2	EXPERIMENT_1_T_CH_001_1	EXPERIMENT_1_T_CH_001_2	EXPERIMENT_1_T_DE_001_1	EXPERIMENT_1_T_DE_001_2	EXPERIMENT_1_T_ES_004_1	EXPERIMENT_1_T_ES_004_2	EXPERIMENT_1_T_FR_072_1	EXPERIMENT_1_T_FR_072_2	EXPERIMENT_1_T_FR_083_1	EXPERIMENT_1_T_FR_083_2	EXPERIMENT_1_T_FR_123_1	EXPERIMENT_1_T_FR_123_2	EXPERIMENT_1_T_G1	EXPERIMENT_1_T_G2	EXPERIMENT_1_T_GB_003_1	EXPERIMENT_1_T_GB_003_2	EXPERIMENT_1_T_GB_093_1	EXPERIMENT_1_T_GB_093_2	EXPERIMENT_1_T_HU_012_1	EXPERIMENT_1_T_HU_012_2	EXPERIMENT_1_T_IN_030_1	EXPERIMENT_1_T_IN_030_2	EXPERIMENT_1_T_IT_048_1	EXPERIMENT_1_T_IT_048_2	EXPERIMENT_1_T_JP_002_1	EXPERIMENT_1_T_JP_002_2	EXPERIMENT_1_T_KE_008_A1	EXPERIMENT_1_T_KE_008_A2	EXPERIMENT_1_T_KE_008_A3	EXPERIMENT_1_T_KE_008_A4	EXPERIMENT_1_T_KE_008_B1	EXPERIMENT_1_T_KE_008_B2	EXPERIMENT_1_T_KE_008_B3	EXPERIMENT_1_T_KE_008_B4	EXPERIMENT_1_T_KE_008_C1	EXPERIMENT_1_T_KE_008_C2	EXPERIMENT_1_T_KE_008_C3	EXPERIMENT_1_T_KE_008_C4	EXPERIMENT_1_T_MG_002_1	EXPERIMENT_1_T_MG_002_2	EXPERIMENT_1_T_Neg_PCRI_1	EXPERIMENT_1_T_Neg_PCRI_2	EXPERIMENT_1_T_NO_385_1	EXPERIMENT_1_T_NO_385_2	EXPERIMENT_1_T_NO_386_1	EXPERIMENT_1_T_NO_386_2	EXPERIMENT_1_T_NZ_030_1	EXPERIMENT_1_T_NZ_030_2	EXPERIMENT_1_T_PL_010_A1	EXPERIMENT_1_T_PL_010_A2	EXPERIMENT_1_T_PL_010_A3	EXPERIMENT_1_T_PL_010_A4	EXPERIMENT_1_T_PL_010_B1	EXPERIMENT_1_T_PL_010_B2	EXPERIMENT_1_T_PL_010_B3	EXPERIMENT_1_T_PL_010_B4	EXPERIMENT_1_T_PL_010_C1	EXPERIMENT_1_T_PL_010_C2	EXPERIMENT_1_T_PL_010_C3	EXPERIMENT_1_T_PL_010_C4	EXPERIMENT_1_T_PL_014_1	EXPERIMENT_1_T_PL_014_2	EXPERIMENT_1_T_PL_015_A1	EXPERIMENT_1_T_PL_015_A2	EXPERIMENT_1_T_PL_015_A3	EXPERIMENT_1_T_PL_015_A4	EXPERIMENT_1_T_PL_015_B1	EXPERIMENT_1_T_PL_015_B2	EXPERIMENT_1_T_PL_015_B3	EXPERIMENT_1_T_PL_015_B4	EXPERIMENT_1_T_PL_015_C1	EXPERIMENT_1_T_PL_015_C2	EXPERIMENT_1_T_PL_015_C3	EXPERIMENT_1_T_PL_015_C4	EXPERIMENT_1_T_PL_016_1	EXPERIMENT_1_T_PL_016_2	EXPERIMENT_1_T_PL_018_1	EXPERIMENT_1_T_PL_018_2	EXPERIMENT_1_T_PL_110_1	EXPERIMENT_1_T_PL_110_2	EXPERIMENT_1_T_PL_247_1	EXPERIMENT_1_T_PL_247_2	EXPERIMENT_1_T_PL_318_1	EXPERIMENT_1_T_PL_318_2	EXPERIMENT_1_T_PT_006_1	EXPERIMENT_1_T_PT_006_2	EXPERIMENT_1_T_PT_008_1	EXPERIMENT_1_T_PT_008_2	EXPERIMENT_1_T_PT_035_1	EXPERIMENT_1_T_PT_035_2	EXPERIMENT_1_T_PT_056_1	EXPERIMENT_1_T_PT_056_2	EXPERIMENT_1_T_r1	EXPERIMENT_1_T_r2	EXPERIMENT_1_T_RU_017_1	EXPERIMENT_1_T_RU_017_2	EXPERIMENT_1_T_SK_003_1	EXPERIMENT_1_T_SK_003_2	EXPERIMENT_1_T_VN_036_1	EXPERIMENT_1_T_VN_036_2	EXPERIMENT_1_TZ_blank_LB_Z	EXPERIMENT_1_TZ_G1_Z	EXPERIMENT_1_TZ_G2_Z	EXPERIMENT_1_TZ_KE_008_A1	EXPERIMENT_1_TZ_KE_008_A2	EXPERIMENT_1_TZ_KE_008_A3	EXPERIMENT_1_TZ_KE_008_A4	EXPERIMENT_1_TZ_KE_008_B1	EXPERIMENT_1_TZ_KE_008_B2	EXPERIMENT_1_TZ_KE_008_B3	EXPERIMENT_1_TZ_KE_008_B4	EXPERIMENT_1_TZ_KE_008_C1	EXPERIMENT_1_TZ_KE_008_C2	EXPERIMENT_1_TZ_KE_008_C3	EXPERIMENT_1_TZ_KE_008_C4	EXPERIMENT_1_TZ_Neg_PCRI	EXPERIMENT_1_TZ_PL_010_A1	EXPERIMENT_1_TZ_PL_010_A2	EXPERIMENT_1_TZ_PL_010_A3	EXPERIMENT_1_TZ_PL_010_A4	EXPERIMENT_1_TZ_PL_010_B1	EXPERIMENT_1_TZ_PL_010_B2	EXPERIMENT_1_TZ_PL_010_B3	EXPERIMENT_1_TZ_PL_010_B4	EXPERIMENT_1_TZ_PL_010_C1	EXPERIMENT_1_TZ_PL_010_C2	EXPERIMENT_1_TZ_PL_010_C3	EXPERIMENT_1_TZ_PL_010_C4	EXPERIMENT_1_TZ_PL_015_A1	EXPERIMENT_1_TZ_PL_015_A2	EXPERIMENT_1_TZ_PL_015_A3	EXPERIMENT_1_TZ_PL_015_A4	EXPERIMENT_1_TZ_PL_015_B1	EXPERIMENT_1_TZ_PL_015_B2	EXPERIMENT_1_TZ_PL_015_B3	EXPERIMENT_1_TZ_PL_015_B4	EXPERIMENT_1_TZ_PL_015_C1	EXPERIMENT_1_TZ_PL_015_C2	EXPERIMENT_1_TZ_PL_015_C3	EXPERIMENT_1_TZ_PL_015_C4	EXPERIMENT_1_TZ_r1_Z	EXPERIMENT_1_TZ_r2_Z
OTU232	16	0	0	38	0	7	4	0	112	29	4	1	0	9	11	2	2	0	10	0	0	0	32	0	19	0	0	0	0	1	0	35	0	1	6	21	31	6	9	3	0	0	23	0	40	7	50	18	11	20	33	0	0	13	17	19	0	10	12	1	7	49	17	5	17	21	3	4	0	0	2	6	2	1	9	32	71	12	18	29	53	28	0	7	0	2	9	0	20	20	52	7	39	0	2	12	0	0	0	0	12	28	0	0	4	0	0	0	3	1	0	0	2	7	2	0	1	0	0	1	3	1	0	1	0	1	2	0	2	3	2	1	4	1	3	0	4	3	1	2	1	0	3	0	0	2
OTU910	2	0	1	34	1	0	0	58	59	15	32	453	10	0	3	0	18	25	0	0	0	4	234	0	9	0	2	1	65	30	125	53	18	29	9	11	13	41	6	0	5	0	2	18	0	0	0	1	6	4	0	30	0	0	1	1	1	4	0	9	14	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	14	11	0	0	0	0	6	0	3	42	13	58	3	4	0	0	39	3	0	0	0	77	47	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	6	8
OTU463	10	0	0	0	0	0	0	0	0	44	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	5	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	1	4	2	0	0	11	1	97	0	0	0	0	0	0	0	0	0	0	11	3
OTU14	138	51	4	26	114	584	3	247	3338	1410	137	3800	903	75	822	333	201	288	2	0	0	4	237	0	348	56	307	156	2442	1645	6671	3026	1311	2812	533	246	856	524	578	28	749	224	1049	181	0	0	24	251	1000	699	1366	240	31	27	142	235	61	104	84	568	1530	958	419	138	0	559	0	0	0	0	0	0	0	0	0	0	0	0	71	0	210	72	195	165	0	0	12	1	154	0	225	1694	357	1765	854	3319	161	139	0	16	221	205	0	0	0	316	216	17	1	19	25	144	18	96	30	3	1	2	151	0	13	8	47	6	122	23	7	37	108	26	29	44	17	114	7	9	32	42	83	17	3	9	0	21	3989	2462
OTU140	35	13	0	0	14	0	0	0	0	0	0	6	0	68	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	12	18	22	10	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	2	2	18	0	0	0	14	0	0	0	0	0	4	0	0	7	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	101	83
OTU15	6	459	0	0	0	0	0	139	0	393	44	1553	0	0	0	57	0	0	0	0	0	18	0	0	0	53	0	20	0	385	0	17	0	7	23	12	40	146	0	9	0	12	10	688	0	0	19	3916	0	212	32	379	21	0	0	227	0	0	0	135	0	15	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	58	0	371	0	0	0	58	0	0	0	0	0	43	548	1342	0	65	0	441	0	9	0	0	0	0	3	0	0	5	0	59	13	0	0	0	11	0	0	0	0	0	1	0	0	7	4	0	0	0	5	4	0	9	0	0	0	1	1	0	0	0	3496	2405
OTU123	8	44	0	0	0	10	0	0	0	0	0	0	0	154	0	25	0	0	0	0	0	0	0	0	115	109	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	57	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	29	0	19	0	56	0	0	0	0	0	36	77	17	125	51	0	33	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	67	0	0
OTU51	9	484	0	0	0	15	0	1132	0	356	34	971	0	28	0	22	3	10	0	3	0	34	0	2	0	43	0	33	0	184	0	0	0	1	22	8	116	215	23	2	5	50	11	393	0	0	0	1806	30	50	63	1124	0	0	0	127	0	0	0	202	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	110	0	30	0	90	0	11	25	278	0	26	0	7	0	125	232	658	0	18	0	302	0	6	0	37	22	0	1	0	10	38	1	37	13	0	0	0	26	0	0	0	0	4	5	0	3	11	0	3	0	6	0	0	0	1	0	0	0	3	0	0	0	1	248	151
OTU513	14	0	0	0	18	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	3	0	0	0	0	0	0	1	0	0	0	0	0	0	35	27
OTU42	47	0	18	37	8	0	0	0	0	0	0	4	8	0	13	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	7	49	0	0	0	0	0	0	0	16	0	0	0	0	0	82	0	193	0	43	0	98	0	26	11	32	79	258	0	51	389	21	0	0	0	0	1	0	0	3	0	0	0	12	65	0	0	14	0	33	0	19	0	0	0	152	0	248	0	81	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	5	9	0	0	0	2	0	0	0	6	7	0	20	1	4	0	3	11	5	0	3	6	3	0	1	0	21	0	0	0	0	0	0	0
OTU336	4	0	0	0	0	21	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	25	0	0	0	3	0	9	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1192	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU67	33	104	0	0	0	38	0	0	0	75	0	0	0	257	0	44	0	0	0	40	0	15	0	0	0	145	38	22	0	0	0	0	0	0	0	0	43	35	0	0	19	187	0	30	0	0	0	138	0	115	0	41	0	0	0	61	0	0	0	39	31	35	0	14	9	253	0	0	0	0	0	0	0	0	0	0	0	22	0	142	0	54	0	9	0	6	93	35	317	167	0	12	0	0	20	143	0	0	0	20	0	40	0	1	0	0	0	4	0	0	39	9	9	0	21	0	0	0	121	0	0	0	3	15	27	0	16	60	99	3	3	77	30	2	0	5	0	3	0	4	0	0	0	15	0	0
OTU114	7	0	0	0	4	0	73	26	0	0	0	0	2	7	0	0	0	0	0	0	1	0	0	0	0	0	0	53	51	1	0	10	0	6	0	21	0	0	8	1	99	0	0	29	0	0	0	0	0	0	70	0	0	0	0	0	0	0	18	6	42	0	26	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	23	0	0	7	0	5	34	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	21	0	1	0	0	2	2	1	8	0	15	4	9	2	12	13	12	17	14	54	56	59	28	23	8	8	23	4	7	10	0	5	1	5	0	0
OTU53	19	19	0	0	8	0	0	0	341	114	0	0	17	0	75	5	0	0	0	0	0	5	0	0	191	12	62	6	79	36	0	58	0	0	0	0	0	0	0	0	6	31	19	0	0	0	0	0	138	52	0	0	0	54	0	17	20	0	0	16	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	94	29	10	0	680	354	0	0	0	23	20	215	0	0	0	0	0	29	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	28	0	0	0	0	0	9	1	18	2	5	0	1	13	0	26	1	0	0	3	5	0	0	1	0	0	0	0
OTU142	23	0	9	2	0	0	1	0	0	0	0	1	53	0	0	0	0	0	4	0	2	0	26	0	11	0	90	0	0	0	0	25	0	0	0	0	0	0	9	5	9	0	0	0	0	0	88	0	229	0	93	0	71	0	21	0	32	17	452	0	22	129	111	0	0	0	0	0	0	0	0	0	0	0	348	1498	172	0	27	0	60	0	43	0	0	0	42	0	129	0	40	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	29	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU639	8	1	0	0	0	40	0	0	0	7	0	0	3	0	0	1	159	238	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	4	0	0	3	0	0	7	0	0	0	7	109	0	0	0	0	0	0	6	0	38	0	1	0	0	0	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0	0	0	0	0	8	0	0	0	1	0	6	0	0	0	25	9	0	0	0	0	18	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
