"sample_type" "N" "PCR_median" "PCR_min" "PCR_max" "EXT_median" "EXT_min" "EXT_max" "ROT_median" "ROT_min" "ROT_max" "ALG_median" "ALG_min" "ALG_max"
"1" "1" 84 33.8905289350522 0.674635802078722 90.0900900900901 1.51413180185271 0 11.5183246073298 2.94759084608749 0 43.9402642159678 0.227733509102814 0 8.61352474499433
"2" "algae" 4 0.234125138280011 0.0791922391605623 0.443273032227147 1.55984198740884 0.660488958990536 2.31819815502576 0.945051863190311 0.069006309148265 1.85695459446508 96.5823606136861 94.6807236132742 98.0481072555205
"3" "blank" 6 90.9885006634233 77.9705117085863 100 8.30449826989619 0 19.6877710320902 0 0 0 0 0 0
"4" "medium" 48 7.11050021924647 0 33.5867912231154 0.123183794344693 0 0.80393032603841 21.7982450430029 0 74.7127204703367 2.56884658137282 0 12.5
"5" "rotifers" 4 0.328884816610499 0.315562198970271 7.60653126244524 0.0583992380633067 0 0.0952251394368113 90.2791182649165 88.4109916367981 96.0471682444777 3.62785246740224 1.77711343630626 5.13762299913844
